dataset_type,size_formation,comm_delay,comm_range,comm_failure,shape_error_avg_30s,shape_error_avg_1min,shape_error_avg_2min,shape_error_avg_5min
training,0.0625,0.0,0.32786885245901637,0.0,0.1361464520600777,0.15925118646595923,0.17483661774996176,0.19405297290918833
training,0.0625,0.0,0.32786885245901637,0.14285714285714285,0.2032633417766507,0.21740058299255333,0.210394950283097,0.20953489018810806
training,0.0625,0.0,0.32786885245901637,0.2857142857142857,0.2216235374724698,0.25362682842424433,0.24682873735022937,0.2426086500468092
training,0.0625,0.0,0.32786885245901637,0.42857142857142855,0.234346292238487,0.2623325093814103,0.2592085773162586,0.2671366011861377
training,0.0625,0.0,0.32786885245901637,0.5238095238095238,0.2608087559919213,0.2870500155018606,0.2825290901377475,0.2757862909641809
training,0.0625,0.0,0.32786885245901637,0.6666666666666667,0.27494399072444203,0.285842085473222,0.28021386914008084,0.2909374462229566
training,0.0625,0.0,0.32786885245901637,0.8095238095238096,0.26348077780793283,0.29047150309984016,0.3047816686398769,0.30218329675878913
training,0.0625,0.0,0.32786885245901637,0.9523809523809524,0.32777934175408585,0.3324548629506668,0.3292291333777412,0.3356058369379878
training,0.0625,0.11663742214579183,0.32786885245901637,0.0,0.16636245734711058,0.15955814234958932,0.17422842444922007,0.18563322809668595
training,0.0625,0.1157741143856676,0.32786885245901637,0.14285714285714285,0.2654985962414401,0.2959301861803136,0.25899924238964867,0.2538326971735805
training,0.0625,0.11607269979971538,0.32786885245901637,0.2857142857142857,0.222413229404999,0.24070084290223975,0.25654217008756885,0.2633386448083574
training,0.0625,0.11554732125331339,0.32786885245901637,0.42857142857142855,0.25748299938686414,0.26380375992431215,0.26313239401507904,0.2765412708576595
training,0.0625,0.11622362727328613,0.32786885245901637,0.5238095238095238,0.28150171744074265,0.26798785494739863,0.2672726323724049,0.27755256219895547
training,0.0625,0.11688291450892162,0.32786885245901637,0.6666666666666667,0.268390543673456,0.2715073953879989,0.28517199552847455,0.30321937449327085
training,0.0625,0.11634496540904772,0.32786885245901637,0.8095238095238096,0.2678886004919361,0.298684218338604,0.302204933096124,0.309269067483881
training,0.0625,0.1162007666352701,0.32786885245901637,0.9523809523809524,0.29471256049023264,0.29280401925401633,0.29720045868168626,0.31321913506013305
training,0.0625,0.2938924710146364,0.32786885245901637,0.0,0.1708988231229745,0.19127490474101594,0.20900694379582713,0.23144772614416786
training,0.0625,0.29265536663395414,0.32786885245901637,0.14285714285714285,0.1881426169325355,0.22898366630515615,0.2273762788375663,0.2304072238666679
training,0.0625,0.28900238812286067,0.32786885245901637,0.2857142857142857,0.2239196812727359,0.24243031342182347,0.2360746209975095,0.2591647172004428
training,0.0625,0.2894704154667468,0.32786885245901637,0.42857142857142855,0.2181908711463383,0.21828468927307018,0.24313152011238173,0.2553146765384888
training,0.0625,0.2924151400933177,0.32786885245901637,0.5238095238095238,0.24938091749495786,0.26031215894760507,0.2717307198435422,0.2826308810169314
training,0.0625,0.2890475626350085,0.32786885245901637,0.6666666666666667,0.12794259861314472,0.2055264660595198,0.24837945280057053,0.25871514294095393
training,0.0625,0.29200516724110875,0.32786885245901637,0.8095238095238096,0.23149209087884054,0.27723707755954907,0.2964686818772234,0.3144648597943542
training,0.0625,0.29044257262784795,0.32786885245901637,0.9523809523809524,0.2508584066709258,0.2756687049560769,0.28502782096346774,0.30553393511339644
training,0.0625,0.4088486486035615,0.32786885245901637,0.0,0.2944840305466085,0.22085017232900395,0.2500066350152262,0.24737343266801687
training,0.0625,0.40937754067551024,0.32786885245901637,0.14285714285714285,0.12412566597152105,0.22276750575064444,0.23622159567183365,0.23959462549033228
training,0.0625,0.4067382783603737,0.32786885245901637,0.2857142857142857,0.19074380601894086,0.22986734542480491,0.2468615440393415,0.26624331552588865
training,0.0625,0.40727249594175785,0.32786885245901637,0.42857142857142855,0.22869801873878615,0.24844934648721695,0.2510743971365389,0.2596674371843064
training,0.0625,0.4099386611646636,0.32786885245901637,0.5238095238095238,0.23956432952749704,0.24607535600370786,0.24938560942282956,0.2672269400164302
training,0.0625,0.40479665393901254,0.32786885245901637,0.6666666666666667,0.25338906532326416,0.32341360120134227,0.3102712278968387,0.3047683212529152
training,0.0625,0.4049563512675626,0.32786885245901637,0.8095238095238096,0.17937299333145074,0.2828822660189501,0.2865089276413986,0.299238060844428
training,0.0625,0.4046098107110906,0.32786885245901637,0.9523809523809524,0.23694981899298487,0.26621532186463326,0.2856833660424067,0.30568102286245474
training,0.0625,0.5214530284006536,0.32786885245901637,0.0,0.23610047557179126,0.26424911969621606,0.22071601339881217,0.259952172497733
training,0.0625,0.5293231077656058,0.32786885245901637,0.14285714285714285,0.23636049250860738,0.23954255157032225,0.26200144921681073,0.2826469510542366
training,0.0625,0.5217877309193922,0.32786885245901637,0.2857142857142857,0.2339922246058181,0.23493262610509474,0.25866895892039515,0.28745636485055454
training,0.0625,0.5240123214610459,0.32786885245901637,0.42857142857142855,0.24329250009833886,0.2405607730351152,0.25282392751806526,0.27434844975305933
training,0.0625,0.5231348726517344,0.32786885245901637,0.5238095238095238,0.35302900190134356,0.3147398021564094,0.30831975252032584,0.2804401676899624
training,0.0625,0.5202914012876977,0.32786885245901637,0.6666666666666667,0.22261835776076697,0.25270812910852986,0.27132335835812227,0.2915476325320544
training,0.0625,0.5190919845234591,0.32786885245901637,0.8095238095238096,0.23086327830253728,0.2621273391669755,0.2867385934433543,0.30024379955015923
training,0.0625,0.5222136712117206,0.32786885245901637,0.9523809523809524,0.22980932644092847,0.24084923866319172,0.26401575789358217,0.32322081231847877
training,0.0625,0.6440717626439718,0.32786885245901637,0.0,0.1783783116081052,0.2577029579952789,0.3149901098671028,0.3544546200209923
training,0.0625,0.6367417281345737,0.32786885245901637,0.14285714285714285,0.212483777683595,0.24512559027687486,0.33032187208603586,0.30544310598242896
training,0.0625,0.6435475464004915,0.32786885245901637,0.2857142857142857,0.17549422983962748,0.22429860022351866,0.25477672902318077,0.29962601188723825
training,0.0625,0.6402291971285081,0.32786885245901637,0.42857142857142855,0.3225703433963699,0.3308963691597286,0.3937776568682678,0.34492150650532805
training,0.0625,0.6444158598036738,0.32786885245901637,0.5238095238095238,0.2643940703568542,0.27795348058001673,0.27819275818523,0.2937319152113653
training,0.0625,0.6402072464061005,0.32786885245901637,0.6666666666666667,0.29094231455369146,0.28769013965621504,0.30657820346613196,0.3229723195102848
training,0.0625,0.6405488127137413,0.32786885245901637,0.8095238095238096,0.20984574991448413,0.2568493914775228,0.2878412816972961,0.33410853137860486
training,0.0625,0.6404412176587156,0.32786885245901637,0.9523809523809524,0.24658487989096622,0.2778989188708025,0.30968707751409275,0.30587858676456
training,0.0625,0.8135774421144473,0.32786885245901637,0.0,0.32969528308545254,0.2813265962201957,0.2988828745811227,0.3324379235027468
training,0.0625,0.8212700044804429,0.32786885245901637,0.14285714285714285,0.24610092385060717,0.26549800287937814,0.3337141648618512,0.3559429203951858
