formation_points_num_values,communication_transmission_range_values,communication_delay_values,communication_failure_rate_values,presence_error,std_dev_presence_error,time_with_no_leader,std_dev_time_with_no_leader,shape_error,std_dev_shape_error
8,20,0.0,0.0,0.0821286135517052,7.491860402836753e-05,0.4421873394092761,0.0009205232649334443,0.1781043601923598,0.00012088761309044249
8,20,0.0,0.04,0.1228087612743388,0.00012214717229782607,0.3600398889996917,0.0012230476903378233,0.2033821879895239,0.0001348933645931438
8,20,0.0,0.08,0.1688529863971895,3.700577585268396e-05,0.447876244100678,0.0005933128560862154,0.2278139494446737,0.0001300874601919373
8,20,0.0,0.12,0.2067359475304089,7.721390520806502e-05,0.4268984080511335,0.0015082882257500944,0.2429183600528873,0.00011918747766993773
8,20,0.0,0.2,0.2974859391970489,5.3649955630747834e-05,0.4123317009213914,0.00047782636721378573,0.2848708911418563,7.175643027825685e-05
8,20,0.04,0.0,0.0949387619826715,0.00010570842531449929,0.4260289611915588,0.001235243687394497,0.2307447544981194,0.0004635586916359182
8,20,0.04,0.04,0.153490964558237,7.542021828096945e-05,0.4504512512534757,0.0009895213602212724,0.2193085230473616,0.00011791190991314589
8,20,0.04,0.08,0.1915211049197331,0.00013899975056480898,0.4259122942008172,0.000949718867404845,0.2295029693338946,7.107336522578351e-05
8,20,0.04,0.12,0.2375355122514231,6.982479903794081e-05,0.4404206678351884,0.0008940896697716688,0.2450085059948853,5.5636570452185564e-05
8,20,0.04,0.2,0.317580613071148,8.627654068947023e-05,0.4832818980052722,0.001222438218135866,0.2897625303473358,0.00017145245497141034
8,20,0.08,0.0,0.1606791789699463,0.0006193961920648086,0.5029736193711649,0.0014622127709425369,0.2746113540789446,0.0002005923569670302
8,20,0.08,0.04,0.2108783635510092,0.00015690903771253248,0.6009405581682171,0.0005245752080323385,0.2659301699865054,0.0001526440940331593
8,20,0.08,0.08,0.2611181732449221,0.00034627262645603506,0.6505768071577976,0.0005414461659693446,0.2856755614428477,0.0002565425630247418
8,20,0.08,0.12,0.2812402343478765,0.00020205677662553002,0.5650376806602241,0.0004526051269029453,0.2787002025273771,0.00017044781072647375
8,20,0.08,0.2,0.3277926206044858,7.452647971306521e-05,0.5347764854902375,0.0004436215806152057,0.2896161867890001,7.221261333957586e-05
8,20,0.12,0.0,0.291241564212673,0.0003287980238498716,0.6509045858460718,0.0011507621198527847,0.3385195811684454,0.0005066858385509699
8,20,0.12,0.04,0.296766796574436,0.0001950247356102475,0.5838210661696283,0.0009066399212612418,0.2968487506606383,0.00023270379590847014
